E1228 21:33:46.217032600      73 socket_utils_common_posix.cc:223]     check for SO_REUSEPORT: UNKNOWN:Protocol not available {syscall:"getsockopt(SO_REUSEPORT)", os_error:"Protocol not available", errno:92, created_time:"2022-12-28T21:33:46.2160651+01:00"}
<0, 21:33:46, 0, -1> 
<5, 21:33:46, 5, -1> 
<1, 21:33:46, 1, -1> 
<2, 21:33:46, 2, -1> 
<3, 21:33:46, 3, -1> 
<6, 21:33:46, 6, -1> 
<4, 21:33:46, 4, -1> 
<7, 21:33:46, 7, -1> 
<8, 21:33:46, 8, -1> 
<9, 21:33:47, 9, -1> 
<10, 21:33:47, 10, -1> 
<11, 21:33:47, 11, -1> 
<12, 21:33:47, 12, -1> 
<13, 21:33:47, 13, -1> 
<14, 21:33:47, 14, -1> 
<15, 21:33:47, 15, -1> 
<16, 21:33:47, 16, -1> 
<17, 21:33:47, 17, -1> 
<18, 21:33:47, 18, -1> 
<19, 21:33:47, 19, -1> 
<20, 21:33:48, 20, -1> 
<21, 21:33:48, 21, -1> 
<22, 21:33:48, 22, -1> 
<23, 21:33:48, 23, -1> 
<24, 21:33:48, 24, -1> 
<25, 21:33:49, 25, -1> 
<26, 21:33:49, 26, -1> 
<27, 21:33:49, 27, -1> 
<28, 21:33:49, 28, -1> 
<29, 21:33:49, 29, -1> 
<30, 21:33:49, 30, -1> 
<31, 21:33:49, 31, -1> 
<32, 21:33:49, 32, -1> 
<33, 21:33:49, 33, -1> 
<34, 21:33:50, 34, -1> 
<35, 21:33:50, 35, -1> 
<36, 21:33:50, 36, -1> 
<37, 21:33:50, 37, -1> 
<38, 21:33:50, 38, -1> 
<39, 21:33:50, 39, -1> 
<40, 21:33:50, 40, -1> 
<41, 21:33:50, 41, -1> 
<42, 21:33:50, 42, -1> 
<43, 21:33:50, 43, -1> 
<44, 21:33:50, 44, -1> 
<45, 21:33:50, 45, -1> 
<46, 21:33:50, 46, -1> 
<47, 21:33:50, 47, -1> 
<48, 21:33:51, 48, -1> 
<49, 21:33:51, 49, -1> 
<50, 21:33:51, 50, -1> 
<51, 21:33:51, 51, -1> 
<52, 21:33:51, 52, -1> 
<53, 21:33:51, 53, -1> 
<54, 21:33:51, 54, -1> 
<55, 21:33:51, 55, -1> 
<56, 21:33:51, 56, -1> 
<57, 21:33:51, 57, -1> 
<58, 21:33:51, 58, -1> 
<59, 21:33:51, 59, -1> 
<60, 21:33:51, 60, -1> 
<61, 21:33:52, 61, -1> 
<62, 21:33:52, 62, -1> 
<63, 21:33:52, 63, -1> 
<64, 21:33:52, 64, -1> 
<65, 21:33:52, 65, -1> 
<66, 21:33:52, 66, -1> 
<67, 21:33:52, 67, -1> 
<68, 21:33:52, 68, -1> 
<69, 21:33:52, 69, -1> 
<70, 21:33:52, 70, -1> 
<71, 21:33:53, 71, -1> 
<72, 21:33:53, 72, -1> 
<73, 21:33:53, 73, -1> 
<74, 21:33:53, 74, -1> 
<75, 21:33:53, 75, -1> 
<76, 21:33:53, 76, -1> 
<77, 21:33:53, 77, -1> 
<78, 21:33:53, 78, -1> 
<79, 21:33:53, 79, -1> 
<80, 21:33:53, 80, -1> 
<81, 21:33:53, 81, -1> 
<82, 21:33:53, 82, -1> 
<83, 21:33:54, 83, -1> 
<84, 21:33:54, 84, -1> 
<85, 21:33:54, 85, -1> 
<86, 21:33:54, 86, -1> 
<87, 21:33:54, 87, -1> 
<88, 21:33:54, 88, -1> 
<89, 21:33:54, 89, -1> 
<90, 21:33:54, 90, -1> 
<91, 21:33:55, 91, -1> 
<92, 21:33:55, 92, -1> 
