E1228 21:40:32.999487500   17496 socket_utils_common_posix.cc:223]     check for SO_REUSEPORT: UNKNOWN:Protocol not available {syscall:"getsockopt(SO_REUSEPORT)", os_error:"Protocol not available", errno:92, created_time:"2022-12-28T21:40:32.9987649+01:00"}
<0, 21:40:33, 0, -1> 
<1, 21:40:33, 1, -1> 
<6, 21:40:33, 6, -1> 
<2, 21:40:33, 2, -1> 
<3, 21:40:33, 3, -1> 
<4, 21:40:33, 4, -1> 
<5, 21:40:33, 5, -1> 
<7, 21:40:33, 7, -1> 
<8, 21:40:34, 8, -1> 
<9, 21:40:34, 9, -1> 
<10, 21:40:34, 10, -1> 
<11, 21:40:34, 11, -1> 
<12, 21:40:34, 12, -1> 
<13, 21:40:34, 13, -1> 
<14, 21:40:34, 14, -1> 
<15, 21:40:34, 15, -1> 
<16, 21:40:34, 16, -1> 
<17, 21:40:34, 17, -1> 
<18, 21:40:35, 18, -1> 
<19, 21:40:35, 19, -1> 
<20, 21:40:35, 20, -1> 
<21, 21:40:35, 21, -1> 
<22, 21:40:35, 22, -1> 
<23, 21:40:35, 23, -1> 
<24, 21:40:35, 24, -1> 
<25, 21:40:35, 25, -1> 
<26, 21:40:35, 26, -1> 
<27, 21:40:35, 27, -1> 
<28, 21:40:35, 28, -1> 
<29, 21:40:35, 29, -1> 
<30, 21:40:36, 30, -1> 
<31, 21:40:36, 31, -1> 
<32, 21:40:36, 32, -1> 
<33, 21:40:36, 33, -1> 
<34, 21:40:36, 34, -1> 
<35, 21:40:36, 35, -1> 
<36, 21:40:36, 36, -1> 
<37, 21:40:36, 37, -1> 
<38, 21:40:36, 38, -1> 
<39, 21:40:36, 39, -1> 
<40, 21:40:36, 40, -1> 
<41, 21:40:37, 41, -1> 
<42, 21:40:37, 42, -1> 
<43, 21:40:37, 43, -1> 
<44, 21:40:37, 44, -1> 
<45, 21:40:37, 45, -1> 
<46, 21:40:37, 46, -1> 
<47, 21:40:37, 47, -1> 
<48, 21:40:37, 48, -1> 
<49, 21:40:37, 49, -1> 
<50, 21:40:37, 50, -1> 
<51, 21:40:38, 51, -1> 
<52, 21:40:38, 52, -1> 
<53, 21:40:38, 53, -1> 
<54, 21:40:38, 54, -1> 
<55, 21:40:38, 55, -1> 
<56, 21:40:38, 56, -1> 
<57, 21:40:38, 57, -1> 
<58, 21:40:38, 58, -1> 
<59, 21:40:38, 59, -1> 
<60, 21:40:38, 60, -1> 
<61, 21:40:38, 61, -1> 
<62, 21:40:39, 62, -1> 
<63, 21:40:39, 63, -1> 
<64, 21:40:39, 64, -1> 
<65, 21:40:39, 65, -1> 
<66, 21:40:39, 66, -1> 
<67, 21:40:39, 67, -1> 
<68, 21:40:39, 68, -1> 
<69, 21:40:39, 69, -1> 
<70, 21:40:39, 70, -1> 
<71, 21:40:40, 71, -1> 
